client_id,Variation
308531,Test
308702,Test
308962,NA
309009,Test
309189,Control
309302,Test
309362,Test
309405,NA
309480,Test
309508,Control
309715,Control
309846,Test
309851,Control
309979,Control
310036,NA
310181,Test
310366,Control
310380,Control
310446,Test
310644,Test
310651,NA
310721,Test
311062,NA
311194,Control
311251,Test
311268,NA
311296,Control
311471,Control
311794,Control
311890,NA
312042,Test
312094,Control
312131,Test
312165,Control
312199,Test
312343,NA
312698,Control
312726,Control
312781,Test
312799,Control
312887,Test
312984,Control
313068,NA
313261,Control
313570,Test
313591,Test
313763,Control
313789,Control
314092,NA
314189,Test
314209,Test
314673,Test
314769,NA
314958,Control
314959,Control
315324,Test
315454,NA
316017,Test
316463,Control
316514,Test
316689,Control
316976,NA
316989,Test
317043,Control
317351,Test
317438,Test
317713,Test
317813,NA
317857,Test
318182,Control
318535,Test
318680,Test
318730,NA
318805,NA
318831,Test
318849,Test
318876,Test
318888,Test
319006,NA
319175,NA
319514,Test
319618,Test
319648,Test
319786,NA
319800,Test
319807,Control
319927,Control
319971,Control
320094,Test
320321,Test
320418,NA
320445,NA
320499,Control
320586,Control
320617,Test
320786,Control
320798,Test
320868,Test
321188,Control
321523,Test
321755,Test
321836,NA
321912,NA
322007,Test
322174,Control
322453,Control
322785,Test
322818,Control
322874,Control
322927,Control
323163,NA
323290,Control
323337,Control
323407,Control
323628,Test
323720,Test
323753,Test
323950,Control
323999,Test
324086,Control
324094,Test
324208,NA
324516,Control
324569,NA
325301,Control
325480,NA
325599,Control
325933,Test
326039,Control
326164,NA
326204,Test
326512,Test
326613,Test
326707,Test
326869,NA
327151,Control
327337,Control
327362,Test
327511,Test
327520,Test
327539,Test
327568,Test
327738,Control
327979,Control
328027,Control
328050,Control
328603,NA
329062,Test
329574,Test
329631,Control
329693,Control
329730,Test
330024,Control
330035,Test
330243,Control
330666,Control
331139,Test
331163,NA
331166,Test
331379,Control
331795,Control
332073,Control
332101,Test
